Time,COAL_PROD,OIL_PROD,NG_PROD,GDP_PC,COAL_P,OIL_P,NG_P,COAL_CSP,OIL_CSP,NG_CSP
1995,1032973772,2394268,19506474,28748,25.56,14.62,155,1032892426,4998569,22290494
1996,1063855513,2366017,19812241,30033,25.17,18.46,217,1063772166,5073645,22649408
1997,1089931788,2354831,19866093,31538,24.64,17.23,232,1089855730,5317822,22859144
1998,1117535167,2281919,19961348,32913,24.87,10.87,196,1117465843,5419401,23383438
1999,1100431428,2146732,19804848,34603,23.92,15.56,219,1100382041,5290364,23342735
2000,1073611561,2130707,20197511,36437,24.15,26.72,368,1073565585,5432171,23801172
2001,1127688806,2117511,20570295,37252,25.36,21.84,400,1127659927,5515019,24069525
2002,1094283061,2096588,19884780,38132,26.57,22.51,295,1094260335,5429467,23148607
2003,1071752573,2061995,19974360,39612,26.73,27.56,488,1071734603,5585153,23378780
2004,1112098870,1991404,19517491,41864,30.56,36.77,546,1112078152,5673684,23129924
2005,1131498099,1891200,18927095,44242,36.8,50.28,733,1131478617,5575552,22389418
2006,1162749659,1857035,19409674,46376,39.32,59.69,639,1162736258,5541117,23194802
2007,1146635345,1853122,20196346,47996,40.8,66.52,625,1146612529,5504520,23217184
2008,1171808669,1829897,21112053,48336,51.39,94.04,797,1171761358,5400127,23791056
2009,1074923392,1954021,21647936,46927,55.44,56.35,367,1074886934,5227711,24251904
2010,1084368148,1996787,22381873,48287,60.88,74.71,448,1084305785,5344445,24344916
2011,1094335567,2063138,24036352,49782,57.64,95.73,395,1094241396,5307402,25555313
2012,1016458000,2373703,25307949,51694,58.13,94.52,266,1016341414,5473365,26618713
,,,,,,,,983855247.2,5493106,26927167
