,Average Weekly Earning,Home Price Index,Trade Balance
Average Weekly Earning,10173.404021801307,2394.5211169235486,-113214.22173943839
Home Price Index,2394.5211169235486,936.0736202066358,-180092.57720520048
Trade Balance,-113214.22173943839,-180092.57720520048,108592435.95949696
