,Average Weekly Earning,Home Price Index,Trade Balance
Average Weekly Earning,1.0,0.7759442550844127,-0.10771298257173856
Home Price Index,0.7759442550844127,1.0,-0.564860260740159
Trade Balance,-0.10771298257173856,-0.564860260740159,1.0
